Game ID,Accuracy
1,1.0
2,1.0
3,0.6875
4,0.875
5,1.0
6,0.875
7,0.75
8,1.0
9,1.0
10,0.875
11,0.875
12,0.8461538461538461
13,0.8
14,0.875
15,0.625
16,0.5
17,0.625
18,1.0
19,1.0
20,0.8125
21,0.875
22,0.375
23,0.3125
24,0.5
25,0.4375
26,0.875
27,1.0
28,0.6875
29,1.0
30,0.75
31,1.0
32,0.3125
33,0.6875
